ticker,company,score,grade,fraud_risk,market_confidence,news_risk,peer_score
NVDA,NVIDIA Corporation,66.26,B,0.1168,0.1505,0.5,0.5
NFLX,"Netflix, Inc.",52.67,C,0.1319,0.3505,0.5,0.5
AMZN,"Amazon.com, Inc.",51.25,C,0.1792,0.2382,0.5,0.8334
GOOGL,Alphabet Inc.,51.24,C,0.1812,0.1927,0.5,0.8334
META,"Meta Platforms, Inc.",48.98,C,0.2004,0.1212,0.5,0.75
MSFT,Microsoft Corporation,48.69,C,0.1428,0.2152,0.4606,0.5
JNJ,Johnson & Johnson,48.65,C,0.1402,0.3244,0.5,0.5
XOM,Exxon Mobil Corporation,47.95,C,0.135,0.4191,0.5,0.5
BAC,Bank of America Corporation,47.82,C,0.1617,0.1652,0.5,0.5
CVX,Chevron Corporation,47.75,C,0.1451,0.4839,0.5,0.5
AAPL,Apple Inc.,45.65,C,0.1356,0.1583,0.4603,0.4167
KO,The Coca-Cola Company,45.17,C,0.1874,0.333,0.5,0.5
JPM,JPMorgan Chase & Co.,44.4,C,0.1554,0.2222,0.5,0.5
WFC,Wells Fargo & Company,43.66,C,0.0758,0.1412,0.5,0.5
MRK,"Merck & Co., Inc.",43.34,C,0.1753,0.2308,0.5,0.5
SBUX,Starbucks Corporation,42.82,C,0.161,0.1917,0.5,0.5
PFE,Pfizer Inc.,41.77,C,0.1808,0.2557,0.5,0.5
PEP,"PepsiCo, Inc.",40.75,C,0.2414,0.2061,0.5,0.5
TSLA,"Tesla, Inc.",40.07,C,0.1971,0.0846,0.4469,0.75
NKE,"NIKE, Inc.",37.93,D,0.1753,0.0917,0.5,0.5
